Predicted titration curve and LogD

Step 1: Computed Gibbs free energies (Hartree)

Gwat0,-1807.43737835
Gwat1,-1807.9007545700001
Gwat2,-1808.35450567
Goct0,-1807.4547507300003
Goct1,-1807.9004324000002
Goct2,-1808.34486097

H(+),-0.48

Step 2: Equilibrium constants and partition coefficients

,Energy (kJ/mol),Ka value
DGw21,68.91648695035946,8.427175405823443e-13
DGw10,43.645734389737015,2.2551357226441105e-08

,Energy (kJ/mol),Partition Coeff
DGow00,-45.61118369085193,97989218.79866204
DGow11,0.8458573347120364,0.7108925462135021
DGow22,25.322159850212074,3.660181995955636e-05

Step 3: Populations in water as a function of pH

pH,cH,cAwat (neutral),cHAwat (+1),cH2Awat (+2)
1.0,1.00e-01,1.90e-18,8.43e-12,1.00e+00
1.5,3.16e-02,1.90e-17,2.66e-11,1.00e+00
2.0,1.00e-02,1.90e-16,8.43e-11,1.00e+00
2.5,3.16e-03,1.90e-15,2.66e-10,1.00e+00
3.0,1.00e-03,1.90e-14,8.43e-10,1.00e+00
3.5,3.16e-04,1.90e-13,2.66e-09,1.00e+00
4.0,1.00e-04,1.90e-12,8.43e-09,1.00e+00
4.5,3.16e-05,1.90e-11,2.66e-08,1.00e+00
5.0,1.00e-05,1.90e-10,8.43e-08,1.00e+00
5.5,3.16e-06,1.90e-09,2.66e-07,1.00e+00
6.0,1.00e-06,1.90e-08,8.43e-07,1.00e+00
6.5,3.16e-07,1.90e-07,2.66e-06,1.00e+00
7.0,1.00e-07,1.90e-06,8.43e-06,1.00e+00
7.5,3.16e-08,1.90e-05,2.66e-05,1.00e+00
8.0,1.00e-08,1.90e-04,8.42e-05,1.00e+00
8.5,3.16e-09,1.90e-03,2.66e-04,9.98e-01
9.0,1.00e-09,1.86e-02,8.26e-04,9.81e-01
9.5,3.16e-10,1.59e-01,2.23e-03,8.38e-01
10.0,1.00e-10,6.53e-01,2.90e-03,3.44e-01
10.5,3.16e-11,9.49e-01,1.33e-03,4.99e-02
11.0,1.00e-11,9.94e-01,4.41e-04,5.23e-03
11.5,3.16e-12,9.99e-01,1.40e-04,5.26e-04
12.0,1.00e-12,1.00e+00,4.43e-05,5.26e-05
12.5,3.16e-13,1.00e+00,1.40e-05,5.26e-06

Step 4: Distribution coefficient (LogD) as a function of pH

pH,cH,cAwat,cHAwat,cH2Awat,cAoct,cHAoct,cH2Aoct,Total,LogD
1.0,1.00e-01,1.90e-18,8.43e-12,1.00e+00,1.86e-10,5.99e-12,3.66e-05,1.00e+00,-4.4365
1.5,3.16e-02,1.90e-17,2.66e-11,1.00e+00,1.86e-09,1.89e-11,3.66e-05,1.00e+00,-4.4365
2.0,1.00e-02,1.90e-16,8.43e-11,1.00e+00,1.86e-08,5.99e-11,3.66e-05,1.00e+00,-4.4363
2.5,3.16e-03,1.90e-15,2.66e-10,1.00e+00,1.86e-07,1.89e-10,3.66e-05,1.00e+00,-4.4343
3.0,1.00e-03,1.90e-14,8.43e-10,1.00e+00,1.86e-06,5.99e-10,3.66e-05,1.00e+00,-4.4149
3.5,3.16e-04,1.90e-13,2.66e-09,1.00e+00,1.86e-05,1.89e-09,3.66e-05,1.00e+00,-4.2579
4.0,1.00e-04,1.90e-12,8.43e-09,1.00e+00,1.86e-04,5.99e-09,3.66e-05,1.00e+00,-3.6520
4.5,3.16e-05,1.90e-11,2.66e-08,1.00e+00,1.86e-03,1.89e-08,3.66e-05,1.00e+00,-2.7215
5.0,1.00e-05,1.90e-10,8.43e-08,1.00e+00,1.86e-02,5.99e-08,3.66e-05,1.00e+00,-1.7291
5.5,3.16e-06,1.90e-09,2.66e-07,1.00e+00,1.86e-01,1.89e-07,3.66e-05,1.00e+00,-0.7299
6.0,1.00e-06,1.90e-08,8.43e-07,1.00e+00,1.86e+00,5.99e-07,3.66e-05,1.00e+00,0.2700
6.5,3.16e-07,1.90e-07,2.66e-06,1.00e+00,1.86e+01,1.89e-06,3.66e-05,1.00e+00,1.2700
7.0,1.00e-07,1.90e-06,8.43e-06,1.00e+00,1.86e+02,5.99e-06,3.66e-05,1.00e+00,2.2700
7.5,3.16e-08,1.90e-05,2.66e-05,1.00e+00,1.86e+03,1.89e-05,3.66e-05,1.00e+00,3.2700
8.0,1.00e-08,1.90e-04,8.42e-05,1.00e+00,1.86e+04,5.99e-05,3.66e-05,1.00e+00,4.2699
8.5,3.16e-09,1.90e-03,2.66e-04,9.98e-01,1.86e+05,1.89e-04,3.65e-05,1.00e+00,5.2691
9.0,1.00e-09,1.86e-02,8.26e-04,9.81e-01,1.83e+06,5.87e-04,3.59e-05,1.00e+00,6.2615
9.5,3.16e-10,1.59e-01,2.23e-03,8.38e-01,1.56e+07,1.59e-03,3.07e-05,1.00e+00,7.1935
10.0,1.00e-10,6.53e-01,2.90e-03,3.44e-01,6.40e+07,2.06e-03,1.26e-05,1.00e+00,7.8063
10.5,3.16e-11,9.49e-01,1.33e-03,4.99e-02,9.30e+07,9.46e-04,1.83e-06,1.00e+00,7.9683
11.0,1.00e-11,9.94e-01,4.41e-04,5.23e-03,9.74e+07,3.13e-04,1.92e-07,1.00e+00,7.9887
11.5,3.16e-12,9.99e-01,1.40e-04,5.26e-04,9.79e+07,9.96e-05,1.92e-08,1.00e+00,7.9909
12.0,1.00e-12,1.00e+00,4.43e-05,5.26e-05,9.80e+07,3.15e-05,1.93e-09,1.00e+00,7.9911
12.5,3.16e-13,1.00e+00,1.40e-05,5.26e-06,9.80e+07,9.97e-06,1.93e-10,1.00e+00,7.9912
